id,value,description
0,Apple,
1,Microsoft,
2,Google,
3,Amazon,
4,NVIDIA,
5,Walmart,
6,Facebook,
7,Instagram,
8,Home Depot,
9,Verizon,
10,Oracle,
11,American Express,
12,UnitedHealthcare,
13,AT&T,
14,Costco,
15,Disney,
16,Uber,
17,Bank of America,
18,Coca-Cola,
19,Chase,
20,VISA,
21,Deloitte,
22,McDonald's,
23,accenture,
24,Wells Fargo,
25,Lowe's,
26,YouTube,
27,Starbucks,
28,JP Morgan,
29,Citi,
30,Cisco,
31,Mastercard,
32,UPS,
33,Capital One,
34,Tesla,
35,Netflix,
36,Target,
37,PWC,
38,Nike,
39,ExxonMobil,
40,IBM Group,
41,Progressive,
42,FedEx,
43,CVS,
44,Xfinity,
45,General Electric,
46,Boeing,
47,Enterprise,
48,Dell Technologies,
49,Goldman Sachs,
50,Ford,
51,Broadcom,
52,Caterpillar,
53,HCA,
54,Spectrum,
55,LinkedIn,
56,Optum,
57,Salesforce,
58,Allstate,
59,Hilton Hotels & Resorts,
60,AMD,
61,PayPal,
62,GEICO,
63,Delta,
64,Elevance Health,
65,Charles Schwab,
66,Johnson & Johnson,
67,Metlife,
68,Fidelity,
69,Pepsi,
70,KFC,
71,Publix,
72,Purina,
73,Sam's Club,
74,Chevron,
75,Travelers,
76,Lay's,
77,John Deere,
78,Walgreens,
79,Universal,
80,Adobe,
81,OpenAI,
82,AutoZone,
83,Lockheed Martin,
84,Intel,
85,S&P Global,
86,Humana,
87,Morgan Stanley,
88,United Airlines,
89,VMWARE,
90,Micron,
91,U.S. Bank,
92,booking.com,
93,Chubb,
94,Chevrolet,
95,NBC,
96,Sysco,
97,ADP,
98,McKesson,
99,Prudential (US),
100,Aetna,
101,Merrill,
102,Dollar General,
103,Lilly,
104,Blackrock,
105,O'Reilly Auto Parts,
106,ConocoPhillips,
107,Cognizant,
108,Honeywell,
109,Northrop Grumman,
110,Truist,
111,Subway,
112,Servicenow,
113,Monster,
114,Sherwin-Williams,
115,Gatorade,
116,Fox,
117,Bloomberg,
118,Qualcomm,
119,Tiffany & Co.,
120,HPE,
121,American Airlines,
122,TJ Maxx,
123,Gillette,
124,3M,
125,The Hartford,
126,McKinsey & Co,
127,Fanduel,
128,Chick-fil-A,
129,Medtronic,
130,Cardinal Health,
131,HP,
132,Budweiser,
133,Kroger,
134,Discover,
135,Tyson,
136,Applied Materials,
137,PNC,
138,Hyatt,
139,Cigna,
140,Domino's Pizza,
141,Vanguard,
142,Taco Bell,
143,Warner Bros,
144,Kellogg's,
145,CBS,
146,Activision Blizzard,
147,Whole Foods,
148,Xbox,
149,Southwest Airlines,
150,General Dynamics,
151,Doritos,
152,Tide,
153,Dollar Tree,
154,Abbott,
155,Synchrony,
156,Union Pacific,
157,QuickBooks,
158,Marathon Petroleum,
159,USPS,
160,ABC,
161,Royal Caribbean International,
162,Dr Pepper,
163,MSCI,
164,Valero,
165,Pampers,
166,SLB,
167,Evernorth,
168,Airbnb,
169,BNSF,
170,Raytheon,
171,Cencora,
172,BCG,
173,Merck & Co,
174,Thermo Fisher Scientific,
175,Jeep,
176,Phillips 66,
177,LENNAR,
178,ESPN,
179,Texas Instruments,
180,FIS,
181,Dove,
182,AIG,
183,BNY,
184,Marshalls,
185,Huntington,
186,Pfizer,
187,ROBLOX,
188,Anthropic,
189,Best Buy,
190,Starlink,
191,DraftKings,
